1,1226800
2,926891
3,782725
4,1023038
5,1126293
6,692565
7,1165880
8,1207156
9,1129954
10,745100
11,1059346
12,1168555
13,1317458
14,528045
15,1220238
16,874557
17,1033389
18,1034165
19,812094
20,1351419
21,801822
22,1044266
23,722871
24,742100
25,839471
26,1201199
27,796265
28,953887
29,1124602
30,1070181
31,1160366
32,1131150
33,1151813
34,1065316
35,914800
36,1093034
37,937898
38,991612
39,865649
40,990565
41,965414
42,949248
43,1168905
44,593112
45,1156922
46,870095
47,1023262
48,788327
49,543605
50,510786
51,734714
52,1133025
53,1461091
54,635481
55,1104107
56,844960
57,1271967
58,574319
59,1063900
60,724737
